file_name,transcription
dev\040221_231\040221_231.wav,pizza
dev\040221_232\040221_232.wav,eat pizza
dev\040221_233\040221_233.wav,i eat pizza
dev\040221_234\040221_234.wav,castle
dev\040221_235\040221_235.wav,sand castle
dev\040221_236\040221_236.wav,build a sand castle
dev\040221_237\040221_237.wav,photo
dev\040221_238\040221_238.wav,a picture
dev\040221_239\040221_239.wav,take a photo photo
dev\040221_240\040221_240.wav,take a photo
dev\040221_241\040221_241.wav,we took yyy a photo
dev\040221_242\040221_242.wav,we took a photo
dev\040221_243\040221_243.wav,apple
dev\040221_244\040221_244.wav,pick a apple
dev\040221_245\040221_245.wav,i pick a apple
dev\040221_246\040221_246.wav,a table
dev\040221_247\040221_247.wav,table
dev\040221_248\040221_248.wav,table
dev\040221_249\040221_249.wav,set the table
dev\040221_250\040221_250.wav,set set the table
dev\040221_251\040221_251.wav,we set the table
dev\040221_252\040221_252.wav,football
dev\040221_253\040221_253.wav,football
dev\040221_254\040221_254.wav,kick a football
dev\040221_255\040221_255.wav,i kick a football
dev\040221_256\040221_256.wav,waffle
dev\040221_257\040221_257.wav,eat a waffle
dev\040221_258\040221_258.wav,eat a waffle
dev\040221_259\040221_259.wav,i eat a waffle
dev\040221_260\040221_260.wav,fork
dev\040221_261\040221_261.wav,i eat a waffle
dev\040221_262\040221_262.wav,doctor
dev\040221_263\040221_263.wav,see a doctor
dev\040221_264\040221_264.wav,i see a doctor
dev\040221_265\040221_265.wav,i see a doctor
dev\040221_266\040221_266.wav,camel
dev\040221_267\040221_267.wav,ride a camel
dev\040221_268\040221_268.wav,camel
dev\040221_269\040221_269.wav,oh yeah
dev\040221_270\040221_270.wav,camel
dev\040221_271\040221_271.wav,camel
dev\040221_272\040221_272.wav,i ride a camel
dev\040221_273\040221_273.wav,i can do it all by myself
dev\040221_274\040221_274.wav,i can ride a camel
dev\040221_275\040221_275.wav,he can
dev\040221_276\040221_276.wav,paper
dev\040221_277\040221_277.wav,cut paper
dev\040221_278\040221_278.wav,cut
dev\040221_279\040221_279.wav,i cut paper
dev\040305_1\040305_1.wav,stop sign
dev\040305_10\040305_10.wav,yyy this on my speech card
dev\040305_100\040305_100.wav,cake game
dev\040305_101\040305_101.wav,lets wash it
dev\040305_102\040305_102.wav,a girl
dev\040305_103\040305_103.wav,yeah but yyy lets go tell my mom first
dev\040305_104\040305_104.wav,shape
dev\040305_105\040305_105.wav,sheep
dev\040305_106\040305_106.wav,a shape
dev\040305_107\040305_107.wav,a sheep
dev\040305_108\040305_108.wav,that rhymes
dev\040305_109\040305_109.wav,a shape
dev\040305_11\040305_11.wav,so i know that
dev\040305_110\040305_110.wav,what this
dev\040305_111\040305_111.wav,xxx
dev\040305_112\040305_112.wav,sheep
dev\040305_113\040305_113.wav,deep
dev\040305_114\040305_114.wav,a
dev\040305_115\040305_115.wav,wheres the mouth yyy wheres the eyes
dev\040305_116\040305_116.wav,shape
dev\040305_117\040305_117.wav,i want green
dev\040305_118\040305_118.wav,i draw
dev\040305_119\040305_119.wav,slider
dev\040305_12\040305_12.wav,yyy
dev\040305_120\040305_120.wav,slider
dev\040305_121\040305_121.wav,a
dev\040305_122\040305_122.wav,shape
dev\040305_123\040305_123.wav,shape
dev\040305_124\040305_124.wav,shape
dev\040305_125\040305_125.wav,what these for
dev\040305_126\040305_126.wav,a boring game
dev\040305_127\040305_127.wav,sheep
dev\040305_128\040305_128.wav,you wont trick me
dev\040305_129\040305_129.wav,i know it
dev\040305_13\040305_13.wav,stars
dev\040305_130\040305_130.wav,i know
dev\040305_131\040305_131.wav,i know
dev\040305_132\040305_132.wav,shape
dev\040305_133\040305_133.wav,sheep
dev\040305_134\040305_134.wav,okay
dev\040305_135\040305_135.wav,because mine teachers dont has no boots
dev\040305_136\040305_136.wav,what yyy mine shirt
dev\040305_137\040305_137.wav,oh yyy mine sticker
dev\040305_138\040305_138.wav,i didnt yyy that yyy was a sticker
dev\040305_139\040305_139.wav,shape
dev\040305_14\040305_14.wav,stirring
dev\040305_140\040305_140.wav,shape
dev\040305_141\040305_141.wav,sheep
dev\040305_142\040305_142.wav,shape
dev\040305_143\040305_143.wav,sheep
dev\040305_144\040305_144.wav,okay i ready
dev\040305_145\040305_145.wav,ready to fool you
dev\040305_146\040305_146.wav,i gonna try to fool you
dev\040305_147\040305_147.wav,shape
dev\040305_148\040305_148.wav,sheep
dev\040305_149\040305_149.wav,shape
dev\040305_15\040305_15.wav,stirring
dev\040305_150\040305_150.wav,xxx
dev\040305_151\040305_151.wav,sheep
dev\040305_152\040305_152.wav,sheep
dev\040305_153\040305_153.wav,i gonna try to fool you
dev\040305_154\040305_154.wav,sheep
dev\040305_155\040305_155.wav,shape
