file_name,transcription
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_1/030926_1.wav,open
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_10/030926_10.wav,pie
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_100/030926_100.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_101/030926_101.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_102/030926_102.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_103/030926_103.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_104/030926_104.wav,yyy you can help me
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_105/030926_105.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_106/030926_106.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_107/030926_107.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_108/030926_108.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_109/030926_109.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_11/030926_11.wav,what is this
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_110/030926_110.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_111/030926_111.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_112/030926_112.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_113/030926_113.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_114/030926_114.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_115/030926_115.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_116/030926_116.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_117/030926_117.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_118/030926_118.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_119/030926_119.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_12/030926_12.wav,cupcakes
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_120/030926_120.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_121/030926_121.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_122/030926_122.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_123/030926_123.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_124/030926_124.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_125/030926_125.wav,its wet
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_126/030926_126.wav,i dont know
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_127/030926_127.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_128/030926_128.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_129/030926_129.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_13/030926_13.wav,yyy yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_130/030926_130.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_131/030926_131.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_132/030926_132.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_133/030926_133.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_134/030926_134.wav,okay
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_135/030926_135.wav,toe pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_136/030926_136.wav,toe pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_137/030926_137.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_138/030926_138.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_139/030926_139.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_14/030926_14.wav,chips
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_140/030926_140.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_141/030926_141.wav,again
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_142/030926_142.wav,i dont see it yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_143/030926_143.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_144/030926_144.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_145/030926_145.wav,toe
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_146/030926_146.wav,finger pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_147/030926_147.wav,where is it
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_148/030926_148.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_149/030926_149.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_15/030926_15.wav,chip
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_150/030926_150.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_151/030926_151.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_152/030926_152.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_153/030926_153.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_154/030926_154.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_155/030926_155.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_156/030926_156.wav,spongebob squarepants
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_157/030926_157.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_158/030926_158.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_159/030926_159.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_16/030926_16.wav,three chips
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_160/030926_160.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_161/030926_161.wav,a toe pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_162/030926_162.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_163/030926_163.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_164/030926_164.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_165/030926_165.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_166/030926_166.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_167/030926_167.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_168/030926_168.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_169/030926_169.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_17/030926_17.wav,i dont know what is this
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_170/030926_170.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_171/030926_171.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_172/030926_172.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_173/030926_173.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_174/030926_174.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_175/030926_175.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_176/030926_176.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_177/030926_177.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_178/030926_178.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_179/030926_179.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_18/030926_18.wav,a waffle
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_180/030926_180.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_181/030926_181.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_182/030926_182.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_183/030926_183.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_184/030926_184.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_185/030926_185.wav,okay
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_186/030926_186.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_187/030926_187.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_188/030926_188.wav,go high
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_189/030926_189.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_19/030926_19.wav,a yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_190/030926_190.wav,yyy yyy yyy yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_191/030926_191.wav,do it again
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_192/030926_192.wav,yyy more pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_193/030926_193.wav,more pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_194/030926_194.wav,more pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_195/030926_195.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_196/030926_196.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_197/030926_197.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_198/030926_198.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_199/030926_199.wav,yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_2/030926_2.wav,that a bananas
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_20/030926_20.wav,no
